DISPLAY NAME	CLASS NAME	CARGO BUCKET	SPAWN COMMAND
5.8 mm 100Rnd Green Hex Mag	100Rnd_580x42_ghex_Mag_F	MAGAZINE	addMagazineCargoGlobal
5.8 mm 100Rnd Tracer (Green) Green Hex Mag	100Rnd_580x42_ghex_Mag_Tracer_F	MAGAZINE	addMagazineCargoGlobal
5.8 mm 100Rnd Hex Mag	100Rnd_580x42_hex_Mag_F	MAGAZINE	addMagazineCargoGlobal
5.8 mm 100Rnd Tracer (Green) Hex Mag	100Rnd_580x42_hex_Mag_Tracer_F	MAGAZINE	addMagazineCargoGlobal
5.8 mm 100Rnd Mag	100Rnd_580x42_Mag_F	MAGAZINE	addMagazineCargoGlobal
5.8 mm 100Rnd Tracer (Green) Mag	100Rnd_580x42_Mag_Tracer_F	MAGAZINE	addMagazineCargoGlobal
6.5 mm 100Rnd Black Mag	100Rnd_65x39_caseless_black_mag	MAGAZINE	addMagazineCargoGlobal
6.5 mm 100Rnd Tracer Black Mag	100Rnd_65x39_caseless_black_mag_tracer	MAGAZINE	addMagazineCargoGlobal
6.5 mm 100Rnd Khaki Mag	100Rnd_65x39_caseless_khaki_mag	MAGAZINE	addMagazineCargoGlobal
6.5 mm 100Rnd Tracer Khaki Mag	100Rnd_65x39_caseless_khaki_mag_tracer	MAGAZINE	addMagazineCargoGlobal
6.5 mm 100Rnd Sand Mag	100Rnd_65x39_caseless_mag	MAGAZINE	addMagazineCargoGlobal
6.5 mm 100Rnd Tracer Sand Mag	100Rnd_65x39_caseless_mag_Tracer	MAGAZINE	addMagazineCargoGlobal
6.5 mm 100Rnd Tracer Blue	100Rnd_65x39_caseless_mag_Tracer_Blue	MAGAZINE	addMagazineCargoGlobal
12.7 mm 10Rnd Mag	10Rnd_127x54_Mag	MAGAZINE	addMagazineCargoGlobal
.338 LM 10Rnd Mag	10Rnd_338_Mag	MAGAZINE	addMagazineCargoGlobal
.50 BW 10Rnd Caseless Mag	10Rnd_50BW_Mag_F	MAGAZINE	addMagazineCargoGlobal
7.62 mm 10Rnd Mag	10Rnd_762x51_Mag	MAGAZINE	addMagazineCargoGlobal
7.62 mm 10Rnd Mag	10Rnd_762x54_Mag	MAGAZINE	addMagazineCargoGlobal
9.3 mm 10Rnd Mag	10Rnd_93x64_DMR_05_Mag	MAGAZINE	addMagazineCargoGlobal
9 mm 10Rnd Mag	10Rnd_9x21_Mag	MAGAZINE	addMagazineCargoGlobal
7.62 mm 10rnd Mk14 Mag	10Rnd_Mk14_762x51_Mag	MAGAZINE	addMagazineCargoGlobal
.45 ACP 15Rnd Mag	11Rnd_45ACP_Mag	MAGAZINE	addMagazineCargoGlobal
1. [TF20] 160th Crye/Cargo (MC)	121_160th_CryeAC_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] 160th Field/Cargo (MC)	121_160th_Field_MC_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] 160th Flightsuit (KHK)	121_160th_Flightsuit_CB	ITEM	addItemCargoGlobal
1. [TF20] 160th Flightsuit (RG)	121_160th_Flightsuit_RG	ITEM	addItemCargoGlobal
1. [TF20] 160th PCU/Cargo (MC)	121_160th_PCU_Cargo_MC_1	ITEM	addItemCargoGlobal
2Rnd 12g Breaching Slug	121_2Rnd_Slug	MAGAZINE	addMagazineCargoGlobal
1. [TF20] Backpack/3DAP	121_Ghost_Backpack_3DAP	BACKPACK	addBackpackCargoGlobal
1. [TF20] Backpack/Radio	121_Ghost_Backpack_Radio	BACKPACK	addBackpackCargoGlobal
1. [TF20] Backpack/RATS	121_Ghost_Backpack_RATS	BACKPACK	addBackpackCargoGlobal
1. [TF20] Backpanel/Alpha	121_Ghost_Backpanel_Alpha	BACKPACK	addBackpackCargoGlobal
1. [TF20] Backpanel/Off	121_Ghost_Backpanel_Off	BACKPACK	addBackpackCargoGlobal
1. [TF20] Backpanel/Romeo	121_Ghost_Backpanel_Romeo	BACKPACK	addBackpackCargoGlobal
1. [TF20] Briefing Uniform	121_Ghost_Brief_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/BLK)	121_Ghost_Field_MC_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/BLK)	121_Ghost_Field_MC_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/GRY)	121_Ghost_Field_MC_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/GRY)	121_Ghost_Field_MC_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/KHK)	121_Ghost_Field_MC_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/KHK)	121_Ghost_Field_MC_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC)	121_Ghost_Field_MC_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC)	121_Ghost_Field_MC_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/RGR)	121_Ghost_Field_MC_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Cargo (MC/RGR)	121_Ghost_Field_MC_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC)	121_Ghost_Field_MC_G3_MC_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC)	121_Ghost_Field_MC_G3_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC/MCA)	121_Ghost_Field_MC_G3_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC/MCA)	121_Ghost_Field_MC_G3_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC/MCB)	121_Ghost_Field_MC_G3_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC/MCB)	121_Ghost_Field_MC_G3_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC/MCT)	121_Ghost_Field_MC_G3_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] Field/G3 (MC/MCT)	121_Ghost_Field_MC_G3_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Jeans (MC)	121_Ghost_Field_MC_Jeans_1	ITEM	addItemCargoGlobal
